Modelo,AIC,BIC,Pseudo R2,AUC
Logit,684.9085620506287,710.1962106411619,0.007921206968510286,0.5529175116651004
Probit,684.9024601172424,710.1901087077756,0.00793020310892445,0.5532307793770919
